WKT,id
"POINT (481463.659452396 5577958.39412329)",
"POINT (481442.970400429 5577982.9952869)",
"POINT (481464.035616977 5577985.85413772)",
"POINT (481483.746641032 5577987.05786438)",
"POINT (481487.508286845 5577956.21236872)",
"POINT (481506.61744757 5577957.71702705)",
"POINT (481507.670708398 5577987.65972771)",
"POINT (481525.576142463 5577988.26159104)",
"POINT (481528.735924945 5577957.56656121)",
"POINT (481551.456265651 5577955.61050539)",
"POINT (481549.048812331 5577988.11112521)",
"POINT (481403.09695482 5578086.21484799)",
"POINT (481404.90254481 5578066.50382393)",
"POINT (481409.867917282 5578046.49186821)",
"POINT (481430.782667998 5578057.62633981)",
"POINT (481447.935772901 5578059.8833273)",
"POINT (481466.292604464 5578061.68891729)",
"POINT (481482.542914372 5578063.94590478)",
"POINT (481499.846485108 5578066.50382393)",
"POINT (481491.871795986 5578087.26810881)",
"POINT (481475.320554413 5578086.51577965)",
"POINT (481459.672107835 5578085.01112133)",
"POINT (481442.218071266 5578083.80739467)",
"POINT (481396.927855689 5578166.8645342)",
"POINT (481399.485774841 5578148.50770263)",
"POINT (481404.150215648 5578131.35459773)",
"POINT (481419.196798896 5578169.72338502)",
"POINT (481424.011705536 5578137.37323103)",
"POINT (481439.660152114 5578138.42649186)",
"POINT (481454.706735363 5578140.08161602)",
"POINT (481469.452386946 5578142.790001)",
"POINT (481487.357821012 5578147.45444181)",
"POINT (481464.938411972 5578168.36919252)",
"POINT (481447.484375403 5578165.9617392)",
"POINT (481492.473659316 5578171.82990667)",
"POINT (481490.818535159 5578188.83254574)",
"POINT (481484.498970195 5578203.42773149)",
"POINT (481461.628163657 5578203.27726566)",
"POINT (481444.023661256 5578200.56888068)",
"POINT (481427.472419683 5578198.31189319)",
"POINT (481402.796023156 5578192.14279406)",
"POINT (481398.282048181 5578209.14543313)",
"POINT (481396.777389856 5578224.04155054)",
"POINT (481438.155493789 5578222.83782388)",
"POINT (481456.662791185 5578225.54620887)",
"POINT (481471.558908601 5578228.85645718)",
"POINT (481468.399126119 5578286.48487102)",
"POINT (481451.095555383 5578283.17462271)",
"POINT (481433.190121317 5578281.06810105)",
"POINT (481416.337948079 5578276.25319441)",
"POINT (481394.520402369 5578269.48223195)",
"POINT (481391.210154054 5578288.74185851)",
"POINT (481392.865278212 5578306.49682674)",
"POINT (481415.284687252 5578307.85101924)",
"POINT (481391.661551552 5578332.82834743)",
"POINT (481412.425836435 5578334.03207409)",
"POINT (481432.73872382 5578335.68719825)",
"POINT (481435.296642972 5578319.13595667)",
"POINT (481442.067605434 5578304.23983926)",
