time [h]	EFH_8 [W]
504	258.80
505	266.50
506	280.30
507	296.30
508	308.00
509	7288.30
510	6455.30
511	5258.30
512	5296.00
513	5094.80
514	4789.60
515	4570.30
516	4441.20
517	4417.40
518	4419.40
519	4164.90
520	4189.80
521	4284.40
522	4202.40
523	4033.40
524	4498.50
525	3812.00
526	3923.60
527	242.10
528	256.10
529	267.30
530	281.80
531	294.30
532	320.10
533	7402.30
534	7001.80
535	6023.10
536	5877.80
537	5374.70
538	4725.30
539	4391.10
540	3119.80
541	2606.10
542	2792.60
543	3738.30
544	5084.50
545	5630.20
546	5465.70
547	5315.60
548	5912.50
549	5603.70
550	5891.90
551	406.60
552	451.00
553	755.10
554	1109.30
555	1498.00
556	1922.80
557	7624.60
558	7693.90
559	7420.40
560	7513.10
561	6470.20
562	5323.20
563	4713.30
564	4737.80
565	3834.00
566	3897.80
567	4523.60
568	5358.10
569	5842.40
570	5868.60
571	5774.10
572	6206.30
573	5755.80
574	5929.70
575	399.00
576	446.90
577	716.70
578	1019.00
579	1416.70
580	1979.70
581	7646.80
582	7693.90
583	7508.80
584	7606.50
585	6881.50
586	5387.20
587	4423.00
588	3681.40
589	3306.00
590	3099.30
591	3868.00
592	5253.40
593	5693.60
594	5713.90
595	5847.20
596	6314.20
597	5988.50
598	6310.60
599	429.60
600	497.20
601	827.30
602	1196.30
603	1681.30
604	1970.70
605	7628.10
606	7693.90
607	7444.60
608	7564.90
609	7536.20
610	7254.50
611	6706.50
612	6203.10
613	5759.70
614	5628.80
615	5865.80
616	6003.60
617	5841.60
618	5494.90
619	5204.70
620	5567.30
621	4914.50
622	5136.40
623	308.40
624	309.00
625	318.00
626	349.50
627	526.10
628	642.10
629	7486.00
630	7606.20
631	6886.80
632	6435.00
633	5684.70
634	5449.10
635	5134.10
636	4831.20
637	4796.70
638	4966.50
639	5130.20
640	5490.40
641	5549.70
642	5544.10
643	5254.00
644	5700.70
645	5222.20
646	5391.20
647	346.40
648	377.40
649	488.00
650	726.20
651	914.50
652	1152.10
653	7558.80
654	7693.90
655	7372.10
656	7397.30
657	6248.70
658	5276.90
659	5178.20
660	4819.50
661	4653.90
662	5117.90
663	5151.30
664	5162.60
665	5060.10
666	4937.40
667	4849.70
668	5146.00
669	4366.80
670	4528.40
671	282.80
672	296.60
673	306.40
674	309.00
675	315.40
676	424.00
677	7427.80
678	7006.00
679	5829.60
680	5664.60
681	5289.00
682	4850.90
683	4088.30
684	4062.60
685	3992.10
686	3794.90
687	3487.80
688	3564.20
689	3483.30
690	3111.20
691	2929.60
692	3511.20
693	2762.20
694	2878.30
695	160.30
696	178.70
697	210.10
698	227.70
699	244.80
700	257.50
701	6839.50
702	5619.50
703	4569.60
704	4057.80
705	2850.70
706	1777.30
707	1277.80
708	1381.60
709	1849.70
710	2156.50
711	2471.30
712	3011.30
713	3283.90
714	3135.10
715	3014.90
716	3547.00
717	2633.90
718	2435.60
719	135.40
720	152.10
721	159.00
722	167.50
723	174.60
724	179.50
725	5402.20
726	4195.20
727	3309.00
728	3047.30
729	2859.30
730	2149.80
731	1791.00
732	2112.80
733	1997.60
734	2280.20
735	2500.20
736	2786.00
737	2846.80
738	2582.30
739	2891.60
740	3991.60
741	3589.30
742	3877.20
743	258.60
744	256.30
745	255.50
746	282.40
747	298.30
748	306.10
749	7303.10
750	6557.50
751	5432.30
752	4810.30
753	3441.10
754	2856.50
755	2046.60
756	1487.80
757	1548.60
758	1939.40
759	2804.70
760	3405.50
761	3641.10
762	3602.20
763	3527.90
764	4120.40
765	3517.80
766	3797.20
767	251.90
768	261.10
769	269.50
770	277.00
771	289.80
772	298.80
773	7186.00
774	6176.50
775	4933.50
776	4761.10
777	4347.70
778	3861.10
779	3015.40
780	2661.20
781	2683.80
782	3141.50
783	3335.70
784	3712.20
785	3841.00
786	3633.00
787	3445.30
788	3971.00
789	3218.50
790	3339.60
791	212.90
792	234.30
793	248.10
794	254.70
795	256.00
796	268.90
797	7007.20
798	5973.60
799	4890.70
800	4373.40
801	3294.40
802	2873.80
803	3011.10
804	2432.80
805	1776.30
806	1695.60
807	2125.00
808	3262.50
809	3494.00
810	3573.50
811	3296.80
812	3777.90
813	3042.90
814	3201.40
815	207.40
816	237.50
817	254.10
818	259.50
819	266.00
820	274.30
821	7089.70
822	6175.80
823	5218.80
824	5016.70
825	4481.40
826	3546.00
827	3043.40
828	3049.10
829	2628.90
830	2489.60
831	2357.20
832	3044.20
833	3488.30
834	3666.00
835	3757.40
836	4391.20
837	3786.40
838	4144.40
839	284.00
840	309.60
841	326.80
842	342.30
843	479.80
844	631.50
845	7507.20
846	7592.30
847	6848.70
848	5641.50
849	3753.60
850	2666.00
851	2080.80
852	1594.50
853	1375.50
854	1414.50
855	1925.40
856	3314.50
857	4088.20
858	4265.40
859	4227.10
860	4829.40
861	4266.50
862	4560.20
863	326.50
864	354.40
865	370.60
866	434.60
867	605.80
868	746.70
869	7524.70
870	7685.30
871	7212.70
872	6217.20
873	3628.10
874	2465.00
875	1951.20
876	1661.70
877	1436.10
878	1191.90
879	1614.00
880	3094.70
881	3982.40
882	4111.70
883	4145.20
884	4673.40
885	4257.40
886	4631.90
887	328.80
888	350.10
889	365.90
890	422.60
891	627.50
892	873.00
893	7560.40
894	7693.90
895	7323.50
896	6493.70
897	3734.30
898	2377.30
899	1903.90
900	1784.70
901	1530.80
902	1214.10
903	1579.00
904	2728.30
905	3753.10
906	3952.30
907	4074.60
908	4815.20
909	4414.30
910	4823.90
911	349.10
912	374.40
913	384.10
914	466.60
915	652.80
916	830.00
917	7526.70
918	7573.70
919	6842.00
920	6181.80
921	4699.60
922	3769.00
923	3301.40
924	3245.90
925	2966.70
926	2729.90
927	3353.70
928	4569.60
929	5081.70
930	4970.00
931	4772.20
932	5235.70
