Time [h]	ConstructionInstance(id=2).FluxShortWaveRadiationA [W]	ConstructionInstance(id=11).FluxShortWaveRadiationA [W]	ConstructionInstance(id=2).FluxShortWaveRadiationB [W]	ConstructionInstance(id=11).FluxShortWaveRadiationB [W]	ConstructionInstance(id=2).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=2).SolarRadiationFluxB [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxB [W/m2]
3942	96.7872	16.1312	271.004	45.1674	0	0	45.1674	45.1674
3942.5	120.484	20.0807	337.355	56.2259	0	0	56.2259	56.2259
3943	132.404	22.0674	370.732	61.7887	0	0	61.7887	61.7887
3943.5	147.559	24.5932	413.165	68.8608	0	0	68.8608	68.8608
3944	225.198	37.5331	630.556	105.093	0	0	105.093	105.093
3944.5	310.272	51.712	868.761	144.794	0	0	144.794	144.794
3945	396.26	66.0434	1109.53	184.921	0	0	184.921	184.921
3945.5	479.303	79.8838	1342.05	223.675	0	0	223.675	223.675
3946	546.105	91.0175	1529.09	254.849	0	0	254.849	254.849
3946.5	600.531	100.089	1681.49	280.248	0	0	280.248	280.248
3947	641.259	106.877	1795.53	299.254	0	0	299.254	299.254
3947.5	669.106	111.518	1873.5	312.25	0	0	312.25	312.25
3948	595.352	99.2253	1666.98	277.831	0	0	277.831	277.831
3948.5	511.053	85.1755	1430.95	238.491	0	0	238.491	238.491
3949	551.103	91.8505	1543.09	257.181	0	0	257.181	257.181
3949.5	582.956	97.1594	1632.28	272.046	0	0	272.046	272.046
3950	499.005	83.1676	1397.22	232.869	0	0	232.869	232.869
3950.5	422.003	70.3338	1181.61	196.935	0	0	196.935	196.935
3951	326.941	54.4901	915.434	152.572	0	0	152.572	152.572
3951.5	245.755	40.9591	688.113	114.685	0	0	114.685	114.685
3952	157.026	26.171	439.673	73.2788	0	0	73.2788	73.2788
3952.5	73.3019	12.217	205.245	34.2075	0	0	34.2075	34.2075
3953	53.6873	8.94788	150.324	25.0541	0	0	25.0541	25.0541
3953.5	34.4081	5.73469	96.3428	16.0571	0	0	16.0571	16.0571
3954	36.4463	6.07438	102.05	17.0083	0	0	17.0083	17.0083
3954.5	38.5714	6.42857	108	18	0	0	18	18
3955	33.1714	5.52857	92.88	15.48	0	0	15.48	15.48
3955.5	27.7714	4.62857	77.76	12.96	0	0	12.96	12.96
3956	15.0429	2.50714	42.12	7.02	0	0	7.02	7.02
3956.5	2.31429	0.385714	6.48	1.08	0	0	1.08	1.08
3957	1.15714	0.192857	3.24	0.54	0	0	0.54	0.54
3957.5	0	0	0	0	0	0	0	0
3958	0	0	0	0	0	0	0	0
3958.5	0	0	0	0	0	0	0	0
3959	0	0	0	0	0	0	0	0
3959.5	0	0	0	0	0	0	0	0
3960	0	0	0	0	0	0	0	0
3960.5	0	0	0	0	0	0	0	0
3961	0	0	0	0	0	0	0	0
3961.5	0	0	0	0	0	0	0	0
3962	0	0	0	0	0	0	0	0
3962.5	0	0	0	0	0	0	0	0
3963	0	0	0	0	0	0	0	0
3963.5	0	0	0	0	0	0	0	0
3964	7.32857	1.22143	20.52	3.42	0	0	3.42	3.42
3964.5	14.6571	2.44286	41.04	6.84	0	0	6.84	6.84
3965	19.3745	3.22908	54.2485	9.04141	0	0	9.04141	9.04141
3965.5	24.1864	4.03107	67.7219	11.287	0	0	11.287	11.287
3966	46.5992	7.76654	130.478	21.7463	0	0	21.7463	21.7463
3966.5	68.9834	11.4972	193.153	32.1922	0	0	32.1922	32.1922
3967	101.149	16.8582	283.218	47.2029	0	0	47.2029	47.2029
3967.5	133.355	22.2258	373.394	62.2323	0	0	62.2323	62.2323
3968	178.665	29.7776	500.263	83.3772	0	0	83.3772	83.3772
3968.5	227.758	37.9597	637.723	106.287	0	0	106.287	106.287
3969	315.41	52.5683	883.147	147.191	0	0	147.191	147.191
3969.5	445.754	74.2924	1248.11	208.019	0	0	208.019	208.019
3970	503.863	83.9771	1410.82	235.136	0	0	235.136	235.136
3970.5	555.62	92.6034	1555.74	259.289	0	0	259.289	259.289
3971	534.458	89.0763	1496.48	249.414	0	0	249.414	249.414
3971.5	501.154	83.5256	1403.23	233.872	0	0	233.872	233.872
3972	572.323	95.3871	1602.5	267.084	0	0	267.084	267.084
3972.5	635.116	105.853	1778.32	296.387	0	0	296.387	296.387
3973	662.599	110.433	1855.28	309.213	0	0	309.213	309.213
3973.5	673.705	112.284	1886.37	314.396	0	0	314.396	314.396
3974	600.778	100.13	1682.18	280.363	0	0	280.363	280.363
3974.5	519.079	86.5131	1453.42	242.237	0	0	242.237	242.237
3975	450.072	75.012	1260.2	210.034	0	0	210.034	210.034
3975.5	370.546	61.7576	1037.53	172.921	0	0	172.921	172.921
3976	282.596	47.0994	791.269	131.878	0	0	131.878	131.878
3976.5	187.165	31.1941	524.062	87.3436	0	0	87.3436	87.3436
3977	121.955	20.3258	341.474	56.9123	0	0	56.9123	56.9123
3977.5	104.026	17.3377	291.274	48.5457	0	0	48.5457	48.5457
3978	85.2043	14.2007	238.572	39.762	0	0	39.762	39.762
3978.5	67.3403	11.2234	188.553	31.4255	0	0	31.4255	31.4255
3979	47.8508	7.97514	133.982	22.3304	0	0	22.3304	22.3304
3979.5	29.1632	4.86054	81.657	13.6095	0	0	13.6095	13.6095
3980	13.2662	2.21103	37.1453	6.19088	0	0	6.19088	6.19088
3980.5	2.31429	0.385714	6.48	1.08	0	0	1.08	1.08
3981	1.15714	0.192857	3.24	0.54	0	0	0.54	0.54
3981.5	0	0	0	0	0	0	0	0
3982	0	0	0	0	0	0	0	0
3982.5	0	0	0	0	0	0	0	0
3983	0	0	0	0	0	0	0	0
3983.5	0	0	0	0	0	0	0	0
3984	0	0	0	0	0	0	0	0
3984.5	0	0	0	0	0	0	0	0
3985	0	0	0	0	0	0	0	0
3985.5	0	0	0	0	0	0	0	0
3986	0	0	0	0	0	0	0	0
3986.5	0	0	0	0	0	0	0	0
3987	1.15714	0.192857	3.24	0.54	0	0	0.54	0.54
3987.5	2.31429	0.385714	6.48	1.08	0	0	1.08	1.08
3988	18.1468	3.02446	50.8109	8.46849	0	0	8.46849	8.46849
3988.5	34.9321	5.82202	97.81	16.3017	0	0	16.3017	16.3017
3989	50.521	8.42016	141.459	23.5765	0	0	23.5765	23.5765
3989.5	67.6845	11.2808	189.517	31.5861	0	0	31.5861	31.5861
3990	85.4846	14.2474	239.357	39.8928	0	0	39.8928	39.8928
3990.5	105.172	17.5287	294.482	49.0803	0	0	49.0803	49.0803
3991	118.101	19.6836	330.684	55.114	0	0	55.114	55.114
3991.5	132.284	22.0474	370.396	61.7327	0	0	61.7327	61.7327
3992	218.754	36.459	612.512	102.085	0	0	102.085	102.085
3992.5	305.744	50.9574	856.084	142.681	0	0	142.681	142.681
3993	387.752	64.6253	1085.71	180.951	0	0	180.951	180.951
3993.5	467.923	77.9872	1310.19	218.364	0	0	218.364	218.364
3994	534.271	89.0452	1495.96	249.326	0	0	249.326	249.326
3994.5	591.249	98.5415	1655.5	275.916	0	0	275.916	275.916
3995	639.002	106.5	1789.21	298.201	0	0	298.201	298.201
3995.5	675.456	112.576	1891.28	315.213	0	0	315.213	315.213
3996	674.421	112.404	1888.38	314.73	0	0	314.73	314.73
3996.5	660.449	110.075	1849.26	308.209	0	0	308.209	308.209
3997	607.004	101.167	1699.61	283.269	0	0	283.269	283.269
3997.5	546.003	91.0005	1528.81	254.801	0	0	254.801	254.801
3998	378.487	63.0812	1059.76	176.627	0	0	176.627	176.627
3998.5	239.441	39.9069	670.435	111.739	0	0	111.739	111.739
3999	265.388	44.2313	743.085	123.848	0	0	123.848	123.848
3999.5	284.195	47.3658	795.745	132.624	0	0	132.624	132.624
4000	256.438	42.7397	718.028	119.671	0	0	119.671	119.671
4000.5	203.345	33.8908	569.365	94.8941	0	0	94.8941	94.8941
4001	146.566	24.4276	410.384	68.3974	0	0	68.3974	68.3974
4001.5	111.462	18.577	312.093	52.0155	0	0	52.0155	52.0155
4002	87.4747	14.5791	244.929	40.8215	0	0	40.8215	40.8215
4002.5	64.55	10.7583	180.74	30.1233	0	0	30.1233	30.1233
4003	44.3436	7.39061	124.162	20.6937	0	0	20.6937	20.6937
