Time [h]	ConstructionInstance(id=2).SurfaceTemperatureA [C]	ConstructionInstance(id=11).SurfaceTemperatureA [C]	ConstructionInstance(id=2).SurfaceTemperatureB [C]	ConstructionInstance(id=11).SurfaceTemperatureB [C]
3936.5	23.8128	23.8128	19.744	19.744
3937	22.5586	22.5586	19.468	19.468
3937.5	21.4662	21.4662	19.1455	19.1455
3938	20.4907	20.4907	18.7895	18.7895
3938.5	19.6463	19.6463	18.4843	18.4843
3939	18.976	18.976	18.2237	18.2237
3939.5	18.4736	18.4736	17.9856	17.9856
3940	18.5524	18.5524	17.8557	17.8557
3940.5	19.4386	19.4386	17.8122	17.8122
3941	21.2758	21.2758	17.8837	17.8837
3941.5	24.2059	24.2059	18.1575	18.1575
3942	28.0351	28.0351	18.562	18.562
3942.5	32.6524	32.6524	19.1644	19.1644
3943	37.5146	37.5146	19.8185	19.8185
3943.5	42.3566	42.3566	20.5546	20.5546
3944	49.8218	49.8218	21.9037	21.9037
3944.5	61.2236	61.2236	23.6707	23.6707
3945	75.8911	75.8911	25.6999	25.6999
3945.5	93.023	93.023	27.887	27.887
3946	111.465	111.465	30.0823	30.0823
3946.5	130.04	130.04	32.1988	32.1988
3947	147.929	147.929	34.1918	34.1918
3947.5	164.455	164.455	36.0162	36.0162
3948	175.673	175.673	36.9295	36.9295
3948.5	179.56	179.56	37.0227	37.0227
3949	182.366	182.366	37.6703	37.6703
3949.5	187.255	187.255	38.7497	38.7497
3950	188.792	188.792	39.0508	39.0508
3950.5	184.925	184.925	38.7535	38.7535
3951	176.412	176.412	37.9952	37.9952
3951.5	164.238	164.238	36.9778	36.9778
3952	149.28	149.28	35.7276	35.7276
3952.5	131.935	131.935	34.227	34.227
3953	115.289	115.289	33.0589	33.0589
3953.5	100.818	100.818	32.1318	32.1318
3954	88.7788	88.7788	31.46	31.46
3954.5	79.2258	79.2258	30.9889	30.9889
3955	71.3372	71.3372	30.5613	30.5613
3955.5	64.5311	64.5311	30.0548	30.0548
3956	58.2911	58.2911	29.4317	29.4317
3956.5	52.3326	52.3326	28.752	28.752
3957	47.0713	47.0713	28.1276	28.1276
3957.5	42.7327	42.7327	27.6659	27.6659
3958	39.1978	39.1978	27.31	27.31
3958.5	36.3104	36.3104	26.9714	26.9714
3959	33.9267	33.9267	26.6397	26.6397
3959.5	31.9687	31.9687	26.3575	26.3575
3960	30.367	30.367	26.11	26.11
3960.5	29.0328	29.0328	25.8469	25.8469
3961	27.9022	27.9022	25.5727	25.5727
3961.5	26.9332	26.9332	25.2883	25.2883
3962	26.0927	26.0927	24.9977	24.9977
3962.5	25.3635	25.3635	24.7177	24.7177
3963	24.7292	24.7292	24.4456	24.4456
3963.5	24.1713	24.1713	24.1776	24.1776
3964	23.9598	23.9598	23.9726	23.9726
3964.5	24.2211	24.2211	23.8269	23.8269
3965	24.7497	24.7497	23.6954	23.6954
3965.5	25.4466	25.4466	23.6092	23.6092
3966	26.983	26.983	23.7035	23.7035
3966.5	29.6528	29.6528	23.9451	23.9451
3967	33.582	33.582	24.3569	24.3569
3967.5	38.7735	38.7735	24.8984	24.8984
3968	45.4518	45.4518	25.6337	25.6337
3968.5	53.8465	53.8465	26.5772	26.5772
3969	64.9552	64.9552	27.9462	27.9462
3969.5	81.2272	81.2272	30.1047	30.1047
3970	100.06	100.06	32.2274	32.2274
3970.5	118.492	118.492	34.156	34.156
3971	133.794	133.794	35.4598	35.4598
3971.5	144.239	144.239	36.2155	36.2155
3972	154.677	154.677	37.5281	37.5281
3972.5	167.558	167.558	39.1821	39.1821
3973	180.579	180.579	40.6913	40.6913
3973.5	192.172	192.172	41.9983	41.9983
3974	198.963	198.963	42.515	42.515
3974.5	199.452	199.452	42.3222	42.3222
3975	195.327	195.327	41.8208	41.8208
3975.5	187.459	187.459	41.0748	41.0748
3976	175.969	175.969	40.0611	40.0611
3976.5	161.086	161.086	38.8096	38.8096
3977	143.735	143.735	37.5196	37.5196
3977.5	128.475	128.475	36.7228	36.7228
3978	115.152	115.152	36.0581	36.0581
3978.5	103.254	103.254	35.3461	35.3461
