Time [h]	Azimuth [Deg]	Altitude [Deg]	3 [---]
3591.333333	252.777	41.8795	0
3591.500000	255.081	40.3363	0
3591.666667	257.314	38.7767	0
3591.833333	259.482	37.2036	0
3592.000000	261.593	35.6194	0
3592.166667	263.653	34.0268	0
3592.333333	265.667	32.4278	0
3592.500000	267.64	30.8245	0
3592.666667	269.579	29.219	0
3592.833333	271.486	27.6131	0
3593.000000	273.368	26.0086	0
3593.166667	275.227	24.4071	0
3593.333333	277.068	22.8104	0
3593.500000	278.893	21.22	0
3593.666667	280.707	19.6374	0
3593.833333	282.513	18.0643	0
3594.000000	284.313	16.5022	0
3594.166667	286.11	14.9525	0
3594.333333	287.907	13.4168	0
3594.500000	289.706	11.8966	0
3594.666667	291.51	10.3935	0
3594.833333	293.322	8.90897	0
3595.000000	295.143	7.4446	0
3595.166667	296.975	6.00201	0
3595.333333	298.822	4.58282	0
3595.500000	300.683	3.18869	0
3595.666667	302.562	1.82134	0
3595.833333	304.46	0.482505	0
3596.000000	306.378	-0.826047	0
3596.166667	308.319	-2.1025	0
3596.333333	310.283	-3.34499	0
3596.500000	312.272	-4.55164	0
3596.666667	314.286	-5.72051	0
3596.833333	316.328	-6.84967	0
3597.000000	318.396	-7.93713	0
3597.166667	320.494	-8.9809	0
3597.333333	322.619	-9.97898	0
3597.500000	324.774	-10.9294	0
3597.666667	326.957	-11.83	0
3597.833333	329.168	-12.6791	0
3598.000000	331.408	-13.4745	0
3598.166667	333.675	-14.2144	0
3598.333333	335.968	-14.897	0
3598.500000	338.286	-15.5206	0
3598.666667	340.627	-16.0834	0
3598.833333	342.99	-16.5841	0
3599.000000	345.372	-17.0211	0
3599.166667	347.771	-17.3932	0
3599.333333	350.185	-17.6994	0
3599.500000	352.611	-17.9387	0
3599.666667	355.046	-18.1104	0
3599.833333	357.487	-18.214	0
